1;	BCD-Template-Server-Package
310;	Microsoft-OneCore-EAP-WOW64-merged-Package
311;	Microsoft-OneCore-EAP-WOW64-Package
312;	Microsoft-OneCore-Edge-WebRuntime-Package
313;	Microsoft-OneCore-EnterpriseDataProtection-Package
314;	Microsoft-OneCore-EnterpriseDesktopAppMgmtCSP-Package
315;	Microsoft-OneCore-EnterpriseNetworking-Package
316;	Microsoft-OneCore-EnterpriseNetworking-WOW64-Package
317;	Microsoft-OneCore-ESENT-Package
318;	Microsoft-OneCore-ESENT-WOW64-Package
319;	Microsoft-OneCore-ETW-Core-Package
320;	Microsoft-OneCore-ETW-Rundown-Package
321;	Microsoft-OneCore-ETW-Rundown-WOW64-Package
322;	Microsoft-OneCore-EventLog-Api-Package
323;	Microsoft-OneCore-EventLog-Api-WOW64-Package
324;	Microsoft-OneCore-EventLog-CommandLine-Package
325;	Microsoft-OneCore-EventLog-CommandLine-WOW64-Package
326;	Microsoft-OneCore-EventLog-RequiredConfiguration-Package
327;	Microsoft-OneCore-EventLog-Service-merged-Package
328;	Microsoft-OneCore-EventLog-Service-Package
329;	Microsoft-OneCore-EventLog-Service-WOW64-Package
330;	Microsoft-OneCore-EventLog-WMI-Package
331;	Microsoft-OneCore-EventLog-WMI-WOW64-Package
332;	Microsoft-OneCore-FileSystem-Support-Package
333;	Microsoft-OneCore-FileSystem-Support-WOW64-Package
334;	Microsoft-OneCore-FirmwareUpdate-HidCfu-Package
335;	Microsoft-OneCore-FirmwareUpdate-StorFwUpdate-Package
336;	Microsoft-OneCore-Flighting-FeatureConfiguration-Package
337;	Microsoft-OneCore-Flighting-FeatureConfiguration-WOW64-Package
338;	Microsoft-OneCore-Flighting-OneSettingsClient-Package
339;	Microsoft-OneCore-Fonts-BitmapFonts-Package
340;	Microsoft-OneCore-Fonts-DesktopFonts-NonLeanSupplement-Package
341;	Microsoft-OneCore-Fonts-DesktopFonts-Supplement-Hans-Package
342;	Microsoft-OneCore-Fonts-DesktopFonts-Supplement-Hant-Package
343;	Microsoft-OneCore-Fonts-DesktopFonts-Supplement-Jpan-Package
344;	Microsoft-OneCore-Fonts-DesktopFonts-Supplement-Kore-Package
345;	Microsoft-OneCore-Fonts-ServerCore-TrueTypeFonts-Package
346;	Microsoft-OneCore-Fonts-ServerCoreFonts-Package
347;	Microsoft-OneCore-Fonts-ServerMinGuiShellFonts-Package
348;	Microsoft-OneCore-Fonts-UAPFonts-Package
349;	Microsoft-OneCore-Gaming-Preview-GamesEnumeration-Package
350;	Microsoft-OneCore-Gaming-UI-Package
351;	Microsoft-OneCore-Graphics-DirectX-Core-Package
352;	Microsoft-OneCore-Graphics-DirectX-Package
353;	Microsoft-OneCore-Graphics-Display-DisplayEnhancementOverride-Package
354;	Microsoft-OneCore-Graphics-IndirectDisplays-Package
355;	Microsoft-OneCore-Graphics-Required-Core-Package
356;	Microsoft-OneCore-Graphics-Required-Package
357;	Microsoft-OneCore-Graphics-Tools-BC-Package
358;	Microsoft-OneCore-Graphics-Tools-BC-WOW64-Package
359;	Microsoft-OneCore-Graphics-Tools-Core-Package
360;	Microsoft-OneCore-Graphics-Tools-merged-Package
361;	Microsoft-OneCore-Graphics-Tools-merged-Package
362;	Microsoft-OneCore-Graphics-Tools-Package
363;	Microsoft-OneCore-Graphics-Tools-Package
364;	Microsoft-OneCore-GraphicsCapture-Package
365;	Microsoft-OneCore-Heat-Package
366;	Microsoft-OneCore-Helium-Package
367;	Microsoft-OneCore-Http-Package
368;	Microsoft-OneCore-Http-WOW64-Package
369;	Microsoft-OneCore-HWN-Wdf-Class-Extensions-Package
370;	Microsoft-OneCore-IME-Chinese-Traditional-Package
371;	Microsoft-OneCore-IME-Japanese-Dictionaries-Package
372;	Microsoft-OneCore-IME-Japanese-merged-Package
373;	Microsoft-OneCore-IME-Japanese-Minimal-Package
374;	Microsoft-OneCore-IME-Japanese-Package
375;	Microsoft-OneCore-Indexer-Package
376;	Microsoft-OneCore-InkPlatform-Package
377;	Microsoft-OneCore-InputService-merged-Package
378;	Microsoft-OneCore-InputService-Package
379;	Microsoft-OneCore-Internal-Graphics-Display-DisplayColorManagement-Package
380;	Microsoft-OneCore-Internal-Graphics-Display-DisplayEnhancementManagement-Package
381;	Microsoft-Onecore-International-Keyboards-Package
382;	Microsoft-Onecore-International-Keyboards-WOW64-Package
383;	Microsoft-OneCore-IsolatedUserMode-Package
384;	Microsoft-OneCore-LibreSSL-Package
385;	Microsoft-OneCore-LicenseManager-Api-Package
386;	Microsoft-OneCore-LSA-Package
387;	Microsoft-OneCore-LSA-WOW64-Package
388;	Microsoft-OneCore-Maps-Core-Package
389;	Microsoft-OneCore-Maps-Full-merged-Package
390;	Microsoft-OneCore-Maps-Full-Package
391;	Microsoft-OneCore-Maps-merged-Package
392;	Microsoft-OneCore-Maps-Package
393;	Microsoft-OneCore-MediaTransportControls-Model-Package
394;	Microsoft-OneCore-MinInput-Package
395;	Microsoft-OneCore-Miracast-Transmitter-Package
396;	Microsoft-Onecore-ModernDeployment-OOBE-Package
397;	Microsoft-OneCore-MTF-Dictionaries-Package
398;	Microsoft-OneCore-MTF-Package
399;	Microsoft-OneCore-MTF-WOW64-Package
400;	Microsoft-OneCore-Multimedia-Acx-Package
401;	Microsoft-OneCore-Multimedia-CastingReceiver-Platform-Package
402;	Microsoft-OneCore-Multimedia-CastingTransmitter-Platform-Package
403;	Microsoft-OneCore-Multimedia-MFPMP-Package
404;	Microsoft-OneCore-Multimedia-MFPMP-WOW64-Package
405;	Microsoft-OneCore-Netloopback-Driver-Package
406;	Microsoft-OneCore-Network-LegacyTdx-Package
407;	Microsoft-OneCore-Network-Security-Domain-Clients-Package
408;	Microsoft-OneCore-NetworkController-SDNDiagnostics-Package
409;	Microsoft-OneCore-Networking-MobileBroadbandApi-Package
410;	Microsoft-OneCore-Networking-MobileNetworking-Package
411;	Microsoft-OneCore-NotificationPlatform-Package
412;	Microsoft-OneCore-NowPlayingSessionManager-Package
413;	Microsoft-OneCore-OpenSSH-ClientOnly-Package
414;	Microsoft-OneCore-OpenSSH-Common-Package
415;	Microsoft-OneCore-OpenSSH-ServerOnly-Package
416;	Microsoft-OneCore-OverlayFilter-Package
417;	Microsoft-OneCore-OverlayFilter-WOW64-Package
418;	Microsoft-OneCore-PayloadRestrictions-Package
419;	Microsoft-OneCore-PayloadRestrictions-WOW64-Package
420;	Microsoft-OneCore-Payments-Core-Package
421;	Microsoft-OneCore-PerformanceCounters-V2-DriverOnly-Package
422;	Microsoft-OneCore-PerformanceCounters-V2-DriverOnly-WOW64-Package
423;	Microsoft-OneCore-PerformanceCounters-V2-merged-Package
424;	Microsoft-OneCore-PerformanceCounters-V2-Package
425;	Microsoft-OneCore-PerformanceCounters-V2-WOW64-merged-Package
426;	Microsoft-OneCore-PerformanceCounters-V2-WOW64-Package
427;	Microsoft-OneCore-PickerPlatform-Package
428;	Microsoft-OneCore-Pnp-Basic-merged-Package
429;	Microsoft-OneCore-Pnp-Basic-Package
430;	Microsoft-OneCore-Pnp-Basic-WOW64-Package
431;	Microsoft-OneCore-Pnp-Core-Package
432;	Microsoft-OneCore-Pnp-Core-WOW64-Package
433;	Microsoft-OneCore-Pnp-Full-Package
434;	Microsoft-OneCore-Pnp-Full-WOW64-Package
435;	Microsoft-OneCore-Pnp-OnlineDriverStore-Package
436;	Microsoft-OneCore-Pnp-OnlineDriverStore-WOW64-Package
437;	Microsoft-OneCore-Pnp-RuntimeDeviceInstall-Package
438;	Microsoft-OneCore-Pnp-RuntimeDeviceInstall-WOW64-Package
439;	Microsoft-OneCore-PointOfService-CameraBarcodeScanner-Package
440;	Microsoft-OneCore-PointOfService-Main-Package
441;	Microsoft-OneCore-PointOfService-OposBridge-Package
442;	Microsoft-OneCore-PointOfService-Package
443;	Microsoft-OneCore-Ramdisk-Package
444;	Microsoft-OneCore-RasBase-RasGreEngine-Package
445;	Microsoft-OneCore-RasBase-RasSstp-FirewallRules-Package
446;	Microsoft-OneCore-RasBase-RasSstp-Package
447;	Microsoft-OneCore-RasSstp-Api-Package
448;	Microsoft-OneCore-Registry-FromApp-Package
449;	Microsoft-OneCore-RemoteDesktopServices-Collaboration-Package
450;	Microsoft-OneCore-RemoteRegistry-Package
451;	Microsoft-OneCore-Scan-Package
452;	Microsoft-OneCore-SD-Package
453;	Microsoft-OneCore-SecureStartup-Foundation-Package
454;	Microsoft-OneCore-SecureStartup-merged-Package
455;	Microsoft-OneCore-SecureStartup-Package
456;	Microsoft-OneCore-SecureStartup-UAP-Package
457;	Microsoft-OneCore-Security-Ngc-Package
458;	Microsoft-OneCore-Security-Octagon-DemandStart-Package
459;	Microsoft-OneCore-Security-SecondaryAuthFactor-Package
460;	Microsoft-OneCore-Security-WebAuthN-Package
461;	Microsoft-OneCore-Sensors-Algorithms-Package
462;	Microsoft-OneCore-Sensors-Core-Package
463;	Microsoft-OneCore-Sensors-Universal-Internal-Package
464;	Microsoft-OneCore-Shell-ServiceHostBuilder-Package
465;	Microsoft-OneCore-ShellHost-Package
466;	Microsoft-OneCore-SmartCard-Drivers-Package
467;	Microsoft-OneCore-SpeechComponents-Package
468;	Microsoft-Onecore-SPP-VirtualDevice-Package
469;	Microsoft-OneCore-StorageManagement-FoD-Package
470;	Microsoft-OneCore-StorageManagement-Package
471;	Microsoft-OneCore-Storufs-Package
472;	Microsoft-OneCore-SystemCounters-Package
473;	Microsoft-OneCore-SystemCounters-WOW64-Package
474;	Microsoft-OneCore-SystemSettings-ContentDeliveryManager-Package
475;	Microsoft-OneCore-SystemSettings-Devices-Package
476;	Microsoft-OneCore-SystemSettings-InputCloudStore-Package
477;	Microsoft-OneCore-SystemSettings-Mouse-Package
478;	Microsoft-OneCore-SystemSettings-NetworkMobileHandlers-Package
479;	Microsoft-OneCore-SystemSettings-TroubleshootHandler-Package
480;	Microsoft-OneCore-SystemSettings-Usb-Package
481;	Microsoft-OneCore-Telephony-PhoneOm-Package
482;	Microsoft-OneCore-Telephony-UniversalComponents-merged-Package
483;	Microsoft-OneCore-Telephony-UniversalComponents-Package
484;	Microsoft-OneCore-TileDataRepository-Package
485;	Microsoft-OneCore-TimeService-Core-Package
486;	Microsoft-OneCore-TimeService-Server-merged-Package
487;	Microsoft-OneCore-TimeService-Server-Package
488;	Microsoft-OneCore-TimeTravelDebugger-PLM-Package
489;	Microsoft-OneCore-TimeTravelDebugger-Recorder-Package
490;	Microsoft-OneCore-TraceDataHelper-DecodingResources-Package
491;	Microsoft-OneCore-TraceDataHelper-DecodingResources-WOW64-Package
492;	Microsoft-OneCore-TraceDataHelper-Package
493;	Microsoft-OneCore-TraceDataHelper-WOW64-Package
494;	Microsoft-OneCore-Transactions-Package
495;	Microsoft-OneCore-TroubleShooting-Package
496;	Microsoft-OneCore-TroubleShooting-WOW64-Package
497;	Microsoft-OneCore-Tsf3Gip-Package
498;	Microsoft-OneCore-TSF3InputProcessor-Package
499;	Microsoft-Onecore-UnifiedUpdatePlatform-UdiApi-Package
500;	Microsoft-OneCore-UniversalStore-Package
501;	Microsoft-OneCore-UniversalVolumeControl-Model-Package
502;	Microsoft-OneCore-UnixCommandLineTools-Package
503;	Microsoft-OneCore-Update-OrchestratorCore-Package
504;	Microsoft-OneCore-Update-OrchestratorScheduler-UXTasks-Package
505;	Microsoft-OneCore-Update-OrchestratorSchedulerTasks-Package
506;	Microsoft-OneCore-Update-UpdateCsps-Package
507;	Microsoft-OneCore-Update-UPShared-Package
508;	Microsoft-OneCore-Update-Ux-Core-Package
509;	Microsoft-OneCore-Update-Ux-Desktop-Package
510;	Microsoft-OneCore-UpdateAgent-DriverUpdateSupport-Package
