Product,Number of product keys
Win 7 UltimateN Retail,40
Win 8 RTM Core Retail,40
Win 8 RTM Professional Retail,40
Win 10 RTM Core OEM:NONSLP,40
Win 8 RTM Professional OEM:NONSLP,40
Win Vista ALL Volume SKUs - MAK,40
Win 10 RTM Professional Retail,40
Win 10 2016 LTSB RTM EnterpriseS OEM:NONSLP,39
Win 11 RTM EnterpriseS Volume:MAK,36
Win 10 RTM EducationN Volume:MAK,34
Win 10 2019 LTSC RTM EnterpriseSN Volume:MAK,31
Win 8 RTM APPXLOB-Client Volume:MAK,30
Win 11 RTM EnterpriseSN Volume:MAK,30
Win 7 Ultimate OEM:COA,29
Win 7 Ultimate OEM:NONSLP,29
Win 7 Starter OEM:COA,28
Win 8 RC Professional Retail,27
Win 10 RTM CoreN Retail,27
Win 7 Home Basic OEM:COA,26
Win 10 2015 LTSB RTM EnterpriseS OEM:NONSLP,26
Win 10 RTM ProfessionalWorkstationN Retail,21
Win 10 RTM ProfessionalWorkstationN Volume:MAK,20
VS 2015 Visual Studio 2015 RTM Volume:MAK Visual Studio 2015 RTM Ultimate Volume,19
Win 7 SP1 HomePremium Retail,19
Win 10 RTM Enterprise OEM:DM,19
Win 10 2015 LTSB RTM EnterpriseS OEM:DM,19
Win 7 SP1 UltimateN Retail,18
Win 7 Home Basic OEM:NONSLP,15
Win 8 Embedded Industry RTM APPXLOB-Embedded Volume:MAK,15
Win 10 RTM CoreSingleLanguage OEM:NONSLP,14
Win 10 RTM ProfessionalEducation Retail,13
Win 10 RTM Education OEM:DM,13
Win 10 RTM ProfessionalN OEM:NONSLP,12
Win 10 2016 LTSB RTM EnterpriseS OEM:DM,12
Win 10 RTM EducationN OEM:DM,12
Win 10 RTM EnterpriseG Volume:MAK,11
Win 10 RTM EnterpriseGN Volume:MAK,11
Win 8.1 Embedded Industry RTM EmbeddedIndustryE Volume:MAK,11
Win 7 All Volume Editions Volume:CSVLK,11
Win 8 Embedded Industry RTM EmbeddedIndustryE Volume:MAK,11
Win 8.1 RTM CoreSingleLanguage OEM:NONSLP,11
Win 10 RTM ProfessionalEducationN Volume:MAK,11
Win 8 Embedded Industry RTM EmbeddedIndustry Volume:MAK,11
Win Vista ALL Volume SKUs - CSVLK,10
Win 10 2019 LTSC RTM EnterpriseS OEM:NONSLP,10
Win 8.1 Embedded Industry RTM EmbeddedIndustry Volume:MAK,10
Win Vista Business Retail,10
Win 7 SP1 HomeBasic Retail,10
Win 10 RTM ProfessionalEducationN OEM:DM,9
Win 10 RTM CoreSingleLanguage Retail,9
Win 10 RC Professional Retail,9
Win Vista Home Premium Retail,9
Win 10 RTM CoreCountrySpecific Retail,9
Win 10 RTM ProfessionalEducation OEM:DM,9
Win 10 Pre-Release Professional Volume:GVLK,9
Win 8.1 RTM Core OEM:NONSLP,8
Win 10 RTM ProfessionalEducation OEM:NONSLP,7
Win 10 RTM Cloud Volume:MAK,7
Win Vista Home Premium - OEM:COA,7
Win 10 RTM ProfessionalEducationN OEM:NONSLP,7
Win 10 RTM CoreN OEM:NONSLP,6
Win Vista Home Basic Retail,6
Win 10 RTM CoreConnectedSingleLanguage OEM:NONSLP,6
Win 8.1 Embedded Industry RTM EmbeddedIndustryE Retail,6
Win Vista Home Premium - OEM:NONSLP,5
Win 8 RTM CoreSingleLanguage OEM:NONSLP,5
Win 10 RTM IoTEnterpriseS OEM:NONSLP,5
Win 8 RTM Core OEM:NONSLP,5
Win 10 RTM CoreCountrySpecific OEM:NONSLP,4
Win 10 Next Pre-Release ProfessionalS Volume:GVLK,4
Win 10 Next Pre-Release CoreConnected Volume:GVLK,4
Win 8 Embedded Standard RTM APPXLOB-Embedded Volume:MAK,4
Win 10 Next Pre-Release ProfessionalStudent Volume:GVLK,4
Win 10 RTM ProfessionalWorkstation OEM:DM,4
Win 10 Next Pre-Release CoreConnectedCountrySpecific Volume:GVLK,4
Win 10 2019 LTSC RTM EnterpriseS OEM:DM,4
Win 10 Next Pre-Release ProfessionalStudentN Volume:GVLK,4
Win 10 Next Pre-Release CoreConnectedN Volume:GVLK,4
Win 10 Next Pre-Release CoreConnectedSingleLanguage Volume:GVLK,4
Win 10 RTM ProfessionalWorkstationN OEM:DM,4
Win 8.1 RTM CoreN Retail,4
Win 10 Next Pre-Release ProfessionalSN Volume:GVLK,4
Win 10 RTM Enterprise Volume:GVLK,4
Win 10 RTM IoTEnterprise OEM:NONSLP,4
Win 10 Embedded Industry Next Beta EmbeddedIndustryE Volume:GVLK,3
Win 10 RTM CoreSingleLanguage Volume:GVLK,3
Win 10 2015 LTSB RTM EnterpriseSN Volume:GVLK,3
Win 10 Embedded Industry Next Beta EmbeddedIndustryA Volume:GVLK,3
Win 8 PK3 Embedded Standard 00140 DLA/Bypass Retail Toolkit,3
Win 10 Pre-Release ProfessionalWMC Volume:GVLK,3
Win 10 RTM PPIPro OEM:NONSLP,3
Win 10 2016 LTSB RTM EnterpriseS Volume:GVLK,3
Win 10 RTM ProfessionalEducationN Retail,3
Win 8.1 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK,3
Win 10 Embedded Industry Next Beta EmbeddedIndustry Volume:GVLK,3
Win 10 Pre-Release CoreARM Volume:GVLK,3
Win 10 RTM ProfessionalWorkstation OEM:NONSLP,3
Win 10 RTM EducationN OEM:NONSLP,3
Win 10 RTM ProfessionalWorkstationN OEM:NONSLP,3
Win 7 SP1 HomePremiumN Retail,3
Win 10 Pre-Release Enterprise Volume:GVLK,3
Win 8 RC Core Retail,3
Win 10 Pre-Release Professional Retail,3
Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK,3
Win 10 RTM CloudN Volume:MAK,3
Win 10 RTM Education OEM:NONSLP,3
Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK,3
Win 10 RTM EducationN Volume:GVLK,2
Win 10 Pre-Release CoreConnected Volume:MAK,2
VS Dev11 RTM Express for Web Retail,2
Win 10 Pre-Release CoreConnectedSingleLanguage OEM:NONSLP,2
Win 10 Pre-Release Core OEM:NONSLP,2
Win 7 Professional Volume:GVLK,2
Win 10 2019 LTSC RTM EnterpriseS Volume:GVLK,2
Win 10 RTM Education Volume:GVLK,2
Win 10 RTM EnterpriseN Volume:GVLK,2
Win 8 RC Enterprise Retail,2
Win 10 RTM EnterpriseG Volume:GVLK,2
Win 8.1 RTM Enterprise Volume:GVLK,2
Win 8.1 Embedded Industry RTM EmbeddedIndustryA Volume:GVLK,2
Win 10 Next Pre-Release MobileEnterprise Volume:MAK,2
Win 10 RTM ProfessionalWorkstation Volume:GVLK,2
Win 10 RTM EnterpriseGN Volume:GVLK,2
Win 10 Pre-Release ProfessionalN Volume:MAK,2
Win 10 Pre-Release CoreCountrySpecific OEM:NONSLP,2
Win 10 RTM ProfessionalN Volume:GVLK,2
Win 8 RTM ProfessionalWMC Volume:GVLK,2
Win 10 2015 LTSB Next Pre-Release EnterpriseSN Volume:MAK,2
Win 8 RTM ProfessionalN OEM:DM,2
Win 10 Pre-Release Enterprise OEM:NONSLP,2
Win 10 Next Pre-Release Education Volume:GVLK,2
Win 10 Next Pre-Release ProfessionalS Volume:MAK,2
Win 10 Pre-Release CoreConnectedCountrySpecific Volume:MAK,2
Win 8.1 RTM CoreConnected Volume:GVLK,2
Win 10 Pre-Release CoreARM OEM:NONSLP,2
Win 10 Pre-Release ProfessionalStudentN OEM:NONSLP,2
Win 10 RTM IoTEnterprise OEM:DM,2
Win 8 RTM Enterprise Volume:GVLK,2
Win 8.1 Embedded Industry RTM EmbeddedIndustry Volume:GVLK,2
Win 8.1 Embedded Industry RTM EmbeddedIndustryE Volume:GVLK,2
Win 10 Embedded Industry Next Beta EmbeddedIndustryE OEM:NONSLP,2
Win 10 Embedded Industry Next Beta EmbeddedIndustryE Volume:MAK,2
Win 10 Pre-Release CoreConnectedCountrySpecific OEM:NONSLP,2
Win 10 Pre-Release ProfessionalS Volume:MAK,2
Win 8 Embedded Standard RTM Embedded Retail:TB:Eval,2
Win 10 Pre-Release PPIPro OEM:NONSLP,2
Win 10 RTM CloudE Volume:GVLK,2
Win 10 Embedded Industry Next Beta EmbeddedIndustryA OEM:NONSLP,2
Win 10 RTM Core Volume:GVLK,2
Win 10 Pre-Release CoreConnectedN Volume:MAK,2
Win 10 Pre-Release ProfessionalN Retail,2
Win 10 Pre-Release Professional Volume:MAK,2
Win 10 Pre-Release ProfessionalStudentN Volume:MAK,2
Win 10 Next Pre-Release PPIPro Volume:MAK,2
Win 10 Pre-Release Education OEM:NONSLP,2
Win 10 Next Pre-Release Enterprise OEM:NONSLP,2
Win 10 Pre-Release ProfessionalStudent Volume:MAK,2
Win 10 2015 LTSB RTM EnterpriseS Volume:GVLK,2
Win 10 Pre-Release CoreN OEM:NONSLP,2
Win 10 Next Pre-Release CoreConnectedSingleLanguage OEM:NONSLP,2
Win 10 Next Pre-Release Professional Volume:MAK,2
Win 10 Pre-Release EducationN Volume:MAK,2
Win 10 RTM Holographic OEM:DM,2
Win 10 RTM CoreN Volume:GVLK,2
Win 10 RTM ProfessionalEducation Volume:GVLK,2
Win 10 Next Pre-Release CoreConnected OEM:NONSLP,2
Win 10 Pre-Release Education Volume:MAK,2
Win 10 Pre-Release ProfessionalN OEM:NONSLP,2
Win 10 RTM ProfessionalWorkstationN Volume:GVLK,2
Win Vista Business - GVLK,2
Win 10 Next Pre-Release CoreConnectedN OEM:NONSLP,2
Win 10 Pre-Release Professional OEM:NONSLP,2
Win 10 Next Pre-Release ProfessionalStudent OEM:NONSLP,2
Win 10 Pre-Release Education Volume:GVLK,2
Win 10 2015 LTSB Pre-Release EnterpriseS Volume:MAK,2
Win Vista Business N - GVLK,2
Win 7 Embedded Standard Retail Std Edtn Eval OEM,2
Win 10 Next Pre-Release CoreConnectedCountrySpecific OEM:NONSLP,2
Win 10 Next Pre-Release ProfessionalStudentN OEM:NONSLP,2
Win 10 2019 LTSC RTM EnterpriseSN Volume:GVLK,2
Win 10 Pre-Release EducationN OEM:NONSLP,2
Win 10 RTM CoreCountrySpecific Volume:GVLK,2
Win 8 RC CoreSingleLanguage Retail,2
Win 10 Pre-Release ProfessionalSN Volume:MAK,2
Win 10 Next Pre-Release ProfessionalSN Volume:MAK,2
Win 10 Pre-Release Core Volume:GVLK,2
Win 10 Pre-Release CoreConnected OEM:NONSLP,2
Win 8 RTM EnterpriseN Volume:GVLK,2
Win Vista Enterprise - GVLK,2
Win 10 RTM ProfessionalEducationN Volume:GVLK,2
Win 8.1 RTM CoreN OEM:NONSLP,2
Win 8.1 RTM EnterpriseN Volume:GVLK,2
Win 10 2015 LTSB Pre-Release EnterpriseSN Volume:MAK,2
Win 10 Pre-Release CoreConnectedN OEM:NONSLP,2
Win 10 2015 LTSB Pre-Release EnterpriseSN OEM:NONSLP,2
Win 10 Next Pre-Release Enterprise Volume:MAK,2
Win 10 Pre-Release CoreConnectedSingleLanguage Volume:MAK,2
Win 10 2016 LTSB RTM EnterpriseSN Volume:GVLK,2
Win 10 Pre-Release Enterprise Volume:MAK,2
Win 10 Pre-Release EnterpriseN Volume:MAK,2
Win 10 2015 LTSB Next Pre-Release EnterpriseS OEM:NONSLP,2
Win 10 Pre-Release CoreSingleLanguage OEM:NONSLP,2
Win 8 RTM CoreCountrySpecific OEM:DM,2
Win 10 Pre-Release ProfessionalStudent OEM:NONSLP,2
Win 10 2015 LTSB Pre-Release EnterpriseS OEM:NONSLP,2
Win 10 Pre-Release Education Retail,1
Win 10 Embedded Industry Next Beta EmbeddedIndustry OEM:DM,1
Win 10 Pre-Release EnterpriseN Retail,1
VS Dev11 RTM Test Professional Retail,1
Win 8.1 RTM ProfessionalStudent Retail,1
Win 10 Next Pre-Release Education Volume:MAK,1
Win 8.1 RTM CoreCountrySpecific Volume:GVLK,1
Win 10 Embedded Industry Next Beta EmbeddedIndustry OEM:NONSLP,1
Win 10 RTM Enterprise;EnterpriseN;Professional;ProfessionalN;EnterpriseS;EnterpriseSN;Education;EducationN Volume:CSVLK VL Additional Lab,1
Win 8 RTM Professional Volume:GVLK,1
Win 10 Pre-Release ProfessionalStudent Retail,1
Win 10 Next Pre-Release ProfessionalStudent Volume:MAK,1
Win 10 Pre-Release CoreARM OEM:DM,1
Win 10 Pre-Release CoreConnectedSingleLanguage Retail,1
Win 7 Enterprise Retail:TB:Eval,1
Win 10 2015 LTSB Pre-Release EnterpriseSN Volume:GVLK,1
System Center 2012 Virtual Machine Manager FPP Retail,1
Win 10 Next Pre-Release MobileCore Retail,1
Win 8 ProfessionalPlus,1
Win 10 Next Pre-Release ProfessionalN Volume:MAK,1
Win 8 RC Professional;ProfessionalN;Enterprise;EnterpriseN Volume:MAK,1
Win 10 Pre-Release ProfessionalStudent Volume:GVLK,1
Win 8.1 RTM CoreN Volume:GVLK,1
Thin PC Embedded Volume:GVLK,1
Win 10 RTM CoreConnectedN OEM:DM,1
Win 10 RTM EnterpriseG OEM:NONSLP,1
Win 10 Next Pre-Release EnterpriseN Volume:MAK,1
Win Vista Home Basic N Retail,1
Win 8 Next Beta PrereleaseARM Retail,1
Win 8 RC Core Volume:GVLK,1
Win 8 Embedded Standard RC EmbeddedE Retail:TB:Eval,1
Win 10 RTM EnterpriseNEval Retail:TB:Eval,1
Win 8 RTM CoreARM Volume:GVLK,1
Win 7 Embedded POSReady POSReady Retail:TB:Eval,1
Win 10 Pre-Release ProfessionalS Volume:GVLK,1
Win 8 Embedded Industry RTM EmbeddedIndustryE Volume:GVLK,1
Win 8 RC ProfessionalWMC Retail,1
Win 10 Next Pre-Release CoreConnectedN Retail,1
Win 10 RTM EnterpriseG OEM:DM,1
Win Vista EnterpriseN GVLK,1
Win 10 RTM AnalogOneCoreEnterprise Volume:MAK,1
Win 10 Pre-Release ProfessionalN Volume:GVLK,1
Win 10 RTM ProfessionalStudentN OEM:DM,1
Win 8 Next Beta PrereleaseN Retail,1
Win 10 9XMK8-N3FG8-KH2T4-T9QJM-HPHQX,1
Win 10 Pre-Release CoreSingleLanguage Retail,1
Win 10 Pre-Release MobileEnterprise Volume:MAK,1
Win 8.1 RTM CoreConnectedCountrySpecific Volume:GVLK,1
VS Dev11 RTM Professional Retail,1
Win 7 Embedded Standard Retail Acad Edtn OEM,1
Win 10 Next Pre-Release ProfessionalStudentN Retail,1
Win 10 RTM CloudEdition Retail,1
Win 8 RTM CoreN Volume:GVLK,1
Win 10 RTM EnterpriseGN OEM:NONSLP,1
Win 10 2015 LTSB Next Pre-Release EnterpriseSN OEM:NONSLP,1
Win Vista Business N Retail,1
Win 10 Pre-Release EducationN Retail,1
Win 10 Next Pre-Release PPIPro Retail,1
Win 10 2015 LTSB Next Pre-Release EnterpriseS Volume:MAK,1
Win 8 Embedded Standard RTM Embedded OEM:NONSLP,1
Visual Studio 2010 Test Load Agent Controller (Volume 1K pack),1
Win 8.1 RTM Core Volume:GVLK,1
Win 10 Next Enterprise Volume:GVLK,1
Win 10 Pre-Release Professional Retail Tencent,1
Win 10 RTM APPXLOB-Client Volume:MAK,1
Win 8.1 RTM CoreCountrySpecific OEM:DM,1
Win 10 2015 LTSB Next Pre-Release EnterpriseS Volume:GVLK,1
Win 10 Next Pre-Release CoreConnectedSingleLanguage Retail,1
Win 8.1 RTM CoreConnectedCountrySpecific OEM:NONSLP,1
Win 10 Pre-Release CoreCountrySpecific Volume:GVLK,1
Win 11 RTM IoTEnterpriseS Volume:GVLK,1
Win 10 RTM IoTUAPCommercial Volume:MAK,1
Win 10 Next Pre-Release CoreConnectedSingleLanguage Volume:MAK,1
Win 10 RTM ProfessionalStudentN OEM:NONSLP,1
Win 10 2015 LTSB RTM EnterpriseSNEval Retail:TB:Eval,1
Win 10 RTM Lite OEM:DM,1
VS 2013 Digital License VS Test Pro w/MSDN 2013 DLA Retail 42,1
Win 10 RTM CloudE OEM:DM,1
Win 10 2019 LTSC RTM EnterpriseSNEval Retail:TB:Eval,1
Win 10 Next StarterN Retail,1
Win 10 2015 LTSB Next Pre-Release EnterpriseSN Volume:GVLK,1
Win 8.1 Embedded Industry RTM EmbeddedIndustryA Volume:MAK,1
Win 8.1 RTM CoreN OEM:DM,1
Visual Studio 2010 (MSDN Subscription),1
Win 10 J427X-9NHBK-VRWQQ-B8Y42-T927K,1
Win 10 Pre-Release ProfessionalSN Volume:GVLK,1
Win 10 2016 LTSB RTM EnterpriseSubscription Volume:MAK,1
Win 8.1 RTM ProfessionalStudent Volume:GVLK,1
Win 10 RTM ProfessionalStudent OEM:DM,1
Win 10 XMMNR-TCVTR-DK8GY-KKJ33-3HM99,1
Win 7 Hyper-V ProdAct All Programs,1
Win 8.1 RTM CoreARM Volume:GVLK,1
Win 10 2015 LTSB Pre-Release EnterpriseS Volume:GVLK,1
Win 10 RTM Andromeda OEM:DM,1
VS 2013 Digital License VS Premium w/MSDN 2013 DLA Retail 36,1
Win 10 KD69N-VWMRK-Y9KBG-FCBM3-KF7QX,1
Win 8 RC EnterpriseN Retail,1
Win 8 RTM Core Volume:GVLK,1
Win 10 Pre-Release Core Retail Qihoo,1
Win 7 Embedded POSReady POSReady Volume:GVLK,1
Win 10 Pre-Release CoreConnected Volume:GVLK,1
Win 10 Pre-Release CoreConnectedN Retail,1
Win 8 RTM EnterpriseEval Retail:TB:Eval,1
Win 10 2015 LTSB Pre-Release EnterpriseS Retail,1
Win 10 Next Pre-Release CoreConnected Retail,1
Win 10 Pre-Release CoreConnectedSingleLanguage Volume:GVLK,1
Win 8 Embedded Industry RTM EmbeddedIndustry Retail:TB:Eval,1
Win 10 Next Pre-Release EducationN Retail,1
VS Dev11 RTM Ultimate Retail,1
Win 8 RTM ProfessionalN Volume:GVLK,1
Win 8.1 RTM CoreSingleLanguage Volume:GVLK,1
Win 10 JH8W6-VMNWP-6QBDM-PBP4B-J9FX9,1
Win 8 Embedded Industry RTM EmbeddedIndustry Volume:GVLK,1
Win 8 RTM CoreCountrySpecific Volume:GVLK,1
VS Dev11 RTM Express for Retail,1
Win 10 2015 LTSB RTM EnterpriseSEval Retail:TB:Eval,1
VS 2013 Digital License Visual Studio Pro w/MSDN 2013 DLA Retail 21,1
Win 10 Next Pre-Release CoreConnectedCountrySpecific Volume:MAK,1
Win 10 RTM CoreConnectedCountrySpecific OEM:DM,1
Win 8.1 RTM CoreARM OEM:DM,1
Win 10 RTM CloudEditionN Retail,1
Win 10 Next Pre-Release EducationN Volume:GVLK,1
Win 10 Pre-Release ProfessionalStudentN Volume:GVLK,1
Win 8.1 Embedded Industry RTM EmbeddedIndustryA OEM:NONSLP,1
Win 8 Embedded Standard RC Embedded Retail:TB:Eval,1
Win 10 RTM CoreConnectedSingleLanguage OEM:DM,1
Win 10 ProfessionalSingleLanguage,1
Win 10 RTM EnterpriseEval Retail:TB:Eval,1
Win 10 Pre-Release CoreCountrySpecific Retail,1
Win 10 ProfessionalCountrySpecific,1
Win 10 RTM CloudEditionN Volume:GVLK,1
Win 7 EnterpriseE Volume:GVLK,1
Win 10 Pre-Release ProfessionalStudentN Retail,1
Win 10 Next Beta EnterpriseEval Retail:TB:Eval,1
Win 10 Pre-Release CoreConnectedCountrySpecific Volume:GVLK,1
Win 10 Embedded Industry Next Beta EmbeddedIndustryA OEM:DM,1
Win 10 Next Pre-Release CoreConnectedCountrySpecific Retail,1
Win 10 Next Pre-Release ProfessionalStudentN Volume:MAK,1
Win 10 Pre-Release Core Retail,1
Win 8 RC CoreN Retail,1
Win 10 Pre-Release CoreN Volume:GVLK,1
Win 10 Pre-Release CoreSingleLanguage Volume:GVLK,1
Win 7 Enterprise Volume:GVLK,1
Win 7 ProfessionalE Volume:GVLK,1
Win 8 RTM CoreSingleLanguage Volume:GVLK,1
Win 8.1 RTM ProfessionalN OEM:NONSLP,1
Win 7 EnterpriseN Volume:GVLK,1
Win 10 Pre-Release CoreConnectedCountrySpecific Retail,1
Win Vista Ultimate - OEM:NONSLP,1
Win 10 RTM OneCoreUpdateOS Retail,1
Win 10 Next Starter Retail,1
Win 8.1 RTM ProfessionalN OEM:DM,1
Win 10 Next Pre-Release ProfessionalStudent Retail,1
Win 10 RTM HubOS OEM:DM,1
Visual Studio 2010 Isolated Shell,1
Win 10 BGN6F-KCBM8-HCFMM-Q744R-W3P7K,1
Win 10 Next Professional Volume:GVLK,1
Win 8.1 RTM ProfessionalStudentN Volume:GVLK,1
VS 2013 Digital License VS Ultimate w/MSDN 2013 DLA Retail 30,1
Win 10 Pre-Release PPIPro Volume:GVLK,1
Win 10 RC Enterprise Retail,1
Win 10 Embedded Industry Next Beta EmbeddedIndustry Volume:MAK,1
Win 10 Pre-Release EnterpriseN Volume:GVLK,1
Win 8 POSReady Beta EmbeddedIndustryE Volume:MAK,1
Win 8 RC ProfessionalWMC Volume:GVLK,1
Win 8 RC ProfessionalN Retail,1
VS 2015 Visual Studio 2015 RTM Volume:MAK Visual Studio 2015 RTM Professional Volume,1
Visual Studio 2010 Team Essentials (Volume License),1
Win 10 RTM CloudEdition OEM:DM,1
Win 10 RTM EnterpriseGN OEM:DM,1
Win 10 RTM CoreConnected OEM:DM,1
Win 10 RTM ProfessionalStudent OEM:NONSLP,1
Visual Studio 2010 Test Essentials (Volume License),1
Visual Studio 2010 Test Load Agent Controller (Volume 2.5K pack),1
Win 10 NMGYT-GD9DR-298BC-TXK84-4TGVK,1
Win 10 Pre-Release Enterprise Retail,1
Visual Studio 2010 Professional (Volume License),1
Win 8.1 RTM ProfessionalWMC Volume:GVLK,1
Win 8 RTM ProfessionalN OEM:NONSLP,1
Win 10 Embedded Industry Next Beta EmbeddedIndustryA Volume:MAK,1
Win 10 RTM CloudEditionN OEM:DM,1
Win 8.1 RTM Professional Volume:GVLK,1
Win 10 EnterpriseS,1
Win 10 Next Beta EnterpriseNEval Retail:TB:Eval,1
Win 10 Next Pre-Release EducationN Volume:MAK,1
Win 10 RTM CloudEdition Volume:GVLK,1
Win 8.1 RTM ProfessionalN Volume:GVLK,1
Win 10 RTM IoTEnterpriseS OEM:DM,1
Win 7 ProfessionalN Volume:GVLK,1
Win 10 Pre-Release CoreConnectedN Volume:GVLK,1
Win 10 N3FPV-KQP4R-4M6H6-7Q8TK-HYMDX,1
Win 10 Pre-Release Professional Retail Qihoo,1
Win 10 Next Pre-Release CoreConnectedN Volume:MAK,1
Win 10 Pre-Release ProfessionalS Retail,1
Win 8.1 RTM CoreConnectedN Volume:GVLK,1
Win 10 Pre-Release Core Retail Tencent,1
Win 10 Pre-Release APPXLOB-Client Volume:MAK,1
Win 8 RC CoreARM Retail,1
Visual Basic 2010 Express (Registered),1
Win 10 RTM IoTUAP Retail,1
Win 10 Pre-Release ProfessionalSN Retail,1
Win 10 Next Pre-Release CoreConnected Volume:MAK,1
Win 10 Pre-Release EducationN Volume:GVLK,1
Win 10 RC ProfessionalWMC Retail,1
Win 8 RC CoreCountrySpecific Retail,1
Win 10 RTM Professional Volume:GVLK,1
Win 10 Next Pre-Release Education Retail,1
Win 7 Embedded POSReady POSReady Retail,1
VS Dev11 RTM Premium Retail,1
Win 10 2019 LTSC RTM EnterpriseSEval Retail:TB:Eval,1
Win 8.1 RTM CoreConnectedSingleLanguage Volume:GVLK,1
Win 10 Pre-Release CoreConnected Retail,1
Win 10 ServerTurbineCor,1
Win 8 Embedded Standard RC Embedded Retail,1
VS 2013 Digital License VS Team Foundation Svr 2013 DLA Retail 52,1
Win 10 2016 LTSB RTM EnterpriseSubscriptionN Volume:MAK,1
Win 10 Pre-Release CoreN Retail,1
